id,comment,label,clean_comment
1049,Nice idea but pacing feels slow. now,Constructive Criticism,nice idea pacing feel slow
1050,Worst thing ever. thanks,Hate,worst thing ever thanks
1051,This sucks.,Hate,suck
1052,Proud of your progress! omg,Support,proud progress omg
1053,This sucks. 😭,Hate,suck
1054,The audio could be better. 😭,Constructive Criticism,audio could better
1055,I will report this.,Threat,report
1056,We believe in you! lol,Support,believe lol
1057,This sucks.!!,Hate,suck
1058,This gave me chills. omg,Emotional,gave chill omg
1059,Worst thing ever. 😭,Hate,worst thing ever
1060,I’ll get your page banned. 😂,Threat,ill get page banned
1061,You can do it! friend,Support,friend
1062,Visuals are nice but transitions feel off. haha,Constructive Criticism,visuals nice transition feel haha
1063,Great attempt but lacks clarity. haha,Constructive Criticism,great attempt lack clarity haha
1064,I’ll get your page banned. lol,Threat,ill get page banned lol
1065,Fantastic quality! bro,Praise,fantastic quality bro
1066,You’ve got this! asap,Support,youve got asap
1067,Can you upload a tutorial? lol,Question/Suggestion,upload tutorial lol
1068,Check my page for giveaways! friend,Spam,check page giveaway friend
1069,Visuals are nice but transitions feel off. thanks,Constructive Criticism,visuals nice transition feel thanks
1070,I’ll take action. ❤️,Threat,ill take action
1071,Great attempt but lacks clarity. please,Constructive Criticism,great attempt lack clarity please
1072,What tool did you use? friend,Question/Suggestion,tool use friend
1073,Follow me for followers! friend,Spam,follow follower friend
1074,Follow me for followers! bro,Spam,follow follower bro
1075,Stop or face consequences. haha,Threat,stop face consequence haha
1076,Beautiful execution! 😭,Praise,beautiful execution
1077,Will there be a part 2?!!,Question/Suggestion,part
1078,Nice idea but pacing feels slow. ❤️,Constructive Criticism,nice idea pacing feel slow
1079,DM for promotions. please,Spam,dm promotion please
1080,Great animation! thanks,Praise,great animation thanks
1081,I’ll get your page banned. thanks,Threat,ill get page banned thanks
1082,This sucks. bro,Hate,suck bro
1083,Nice idea but pacing feels slow.!!,Constructive Criticism,nice idea pacing feel slow
1084,Will there be a part 2? thanks,Question/Suggestion,part thanks
1085,Great animation!,Praise,great animation
1086,This gave me chills. lol,Emotional,gave chill lol
1087,Follow me for followers! lol,Spam,follow follower lol
1088,Will there be a part 2? haha,Question/Suggestion,part haha
1089,This is a warning. friend,Threat,warning friend
1090,Join my group now! thanks,Spam,join group thanks
1091,This made me emotional. 😂,Emotional,made emotional
1092,Will there be a part 2?,Question/Suggestion,part
1093,Worst thing ever. now,Hate,worst thing ever
1094,This is a warning. lol,Threat,warning lol
1095,Can you try a darker theme? omg,Question/Suggestion,try darker theme omg
1096,Can you try a darker theme? friend,Question/Suggestion,try darker theme friend
1097,This gave me chills. ❤️,Emotional,gave chill
1098,Stay strong! haha,Support,stay strong haha
1099,I felt nostalgic watching this. now,Emotional,felt nostalgic watching
1100,This is a warning. 😭,Threat,warning
1101,You’ve got this! friend,Support,youve got friend
1102,This is a warning. now,Threat,warning
1103,This gave me chills. friend,Emotional,gave chill friend
1104,We believe in you! bro,Support,believe bro
1105,Loved this! lol,Praise,loved lol
1106,I can relate to this. now,Emotional,relate
1107,Nice idea but pacing feels slow. 😭,Constructive Criticism,nice idea pacing feel slow
1108,Great attempt but lacks clarity. haha,Constructive Criticism,great attempt lack clarity haha
1109,Visuals are nice but transitions feel off. 😂,Constructive Criticism,visuals nice transition feel
1110,The audio could be better. bro,Constructive Criticism,audio could better bro
1111,I’ll take action.!!,Threat,ill take action
1112,This gave me chills. ❤️,Emotional,gave chill
1113,Visuals are nice but transitions feel off. asap,Constructive Criticism,visuals nice transition feel asap
1114,Proud of your progress! bro,Support,proud progress bro
1115,Great animation! thanks,Praise,great animation thanks
1116,This looks stunning!,Praise,look stunning
1117,You have no talent. now,Hate,talent
1118,I will report this. tbh,Threat,report tbh
1119,Join my group now! omg,Spam,join group omg
1120,Awful content. haha,Hate,awful content haha
1121,Stop or face consequences. 😂,Threat,stop face consequence
1122,You have no talent.,Hate,talent
1123,Can you try a darker theme? omg,Question/Suggestion,try darker theme omg
1124,What tool did you use? asap,Question/Suggestion,tool use asap
1125,Great animation! thanks,Praise,great animation thanks
1126,You can do it! tbh,Support,tbh
1127,Great attempt but lacks clarity. ❤️,Constructive Criticism,great attempt lack clarity
1128,Join my group now! ❤️,Spam,join group
1129,Click here for prizes! omg,Spam,click prize omg
1130,This looks stunning! haha,Praise,look stunning haha
1131,Visuals are nice but transitions feel off. friend,Constructive Criticism,visuals nice transition feel friend
1132,Great animation! dude,Praise,great animation dude
1133,Fantastic quality! ❤️,Praise,fantastic quality
1134,What tool did you use? lol,Question/Suggestion,tool use lol
1135,This made me emotional. thanks,Emotional,made emotional thanks
1136,I can relate to this. omg,Emotional,relate omg
1137,Will there be a part 2? lol,Question/Suggestion,part lol
1138,Amazing work! bro,Praise,amazing work bro
1139,Worst thing ever. 😂,Hate,worst thing ever
1140,We believe in you! dude,Support,believe dude
1141,This sucks..,Hate,suck
1142,You have no talent. tbh,Hate,talent tbh
1143,Good effort but needs improvement. ❤️,Constructive Criticism,good effort need improvement
1144,I felt nostalgic watching this. now,Emotional,felt nostalgic watching
1145,Can you make more like this? thanks,Question/Suggestion,make like thanks
1146,I’ll take action..,Threat,ill take action
1147,I can relate to this. please,Emotional,relate please
1148,You can do it! 😭,Support,
1149,Great animation! bro,Praise,great animation bro
1150,Awful content. haha,Hate,awful content haha
1151,Great animation! now,Praise,great animation
1152,This gave me chills. 😂,Emotional,gave chill
1153,This sucks.,Hate,suck
1154,I can relate to this. omg,Emotional,relate omg
1155,Nice idea but pacing feels slow. please,Constructive Criticism,nice idea pacing feel slow please
1156,Check my page for giveaways!!!,Spam,check page giveaway
1157,I’ll take action. lol,Threat,ill take action lol
1158,Amazing work! thanks,Praise,amazing work thanks
1159,This made me emotional. friend,Emotional,made emotional friend
1160,Great animation! haha,Praise,great animation haha
1161,This looks stunning! ❤️,Praise,look stunning
1162,I’ll take action. omg,Threat,ill take action omg
1163,You’ve got this! please,Support,youve got please
1164,I’ll take action. bro,Threat,ill take action bro
1165,Stop or face consequences. bro,Threat,stop face consequence bro
1166,Nice idea but pacing feels slow. asap,Constructive Criticism,nice idea pacing feel slow asap
1167,Great attempt but lacks clarity. please,Constructive Criticism,great attempt lack clarity please
1168,Amazing work! tbh,Praise,amazing work tbh
1169,You can do it! lol,Support,lol
1170,This touched my heart. please,Emotional,touched heart please
1171,Nice idea but pacing feels slow. dude,Constructive Criticism,nice idea pacing feel slow dude
1172,Keep going! omg,Support,keep going omg
1173,This is terrible.,Hate,terrible
1174,The audio could be better..,Constructive Criticism,audio could better
1175,DM for promotions. bro,Spam,dm promotion bro
1176,Can you make more like this? omg,Question/Suggestion,make like omg
1177,I will report this. asap,Threat,report asap
1178,I felt nostalgic watching this. haha,Emotional,felt nostalgic watching haha
1179,Can you upload a tutorial?,Question/Suggestion,upload tutorial
1180,I will report this.,Threat,report
1181,This looks stunning! now,Praise,look stunning
1182,Proud of your progress! 😂,Support,proud progress
1183,You have no talent. thanks,Hate,talent thanks
1184,Join my group now! lol,Spam,join group lol
1185,Loved this! bro,Praise,loved bro
1186,Fantastic quality! friend,Praise,fantastic quality friend
1187,Stay strong!,Support,stay strong
1188,Amazing work! dude,Praise,amazing work dude
1189,I felt nostalgic watching this. omg,Emotional,felt nostalgic watching omg
1190,What tool did you use? 😭,Question/Suggestion,tool use
1191,Can you upload a tutorial? 😭,Question/Suggestion,upload tutorial
1192,What tool did you use? asap,Question/Suggestion,tool use asap
1193,Great attempt but lacks clarity. bro,Constructive Criticism,great attempt lack clarity bro
1194,Stop or face consequences.!!,Threat,stop face consequence
1195,This sucks. tbh,Hate,suck tbh
1196,Stop or face consequences..,Threat,stop face consequence
1197,DM for promotions. 😭,Spam,dm promotion
1198,You have no talent. friend,Hate,talent friend
1199,I’ll get your page banned. dude,Threat,ill get page banned dude
1200,I will report this. haha,Threat,report haha
1201,This is terrible. please,Hate,terrible please
1202,I will report this.!!,Threat,report
1203,Great animation! friend,Praise,great animation friend
1204,Check my page for giveaways! omg,Spam,check page giveaway omg
1205,Can you make more like this? friend,Question/Suggestion,make like friend
1206,This made me emotional. now,Emotional,made emotional
1207,Can you make more like this?!!,Question/Suggestion,make like
1208,Good effort but needs improvement. asap,Constructive Criticism,good effort need improvement asap
1209,Visuals are nice but transitions feel off. tbh,Constructive Criticism,visuals nice transition feel tbh
1210,Check my page for giveaways! dude,Spam,check page giveaway dude
1211,Stop or face consequences. 😂,Threat,stop face consequence
1212,This sucks.!!,Hate,suck
1213,Can you upload a tutorial?.,Question/Suggestion,upload tutorial
1214,This touched my heart. tbh,Emotional,touched heart tbh
1215,Stop or face consequences. ❤️,Threat,stop face consequence
1216,Proud of your progress!,Support,proud progress
1217,Follow me for followers!!!,Spam,follow follower
1218,Loved this!.,Praise,loved
1219,You have no talent..,Hate,talent
1220,You can do it! ❤️,Support,
1221,Proud of your progress!.,Support,proud progress
1222,The audio could be better. asap,Constructive Criticism,audio could better asap
1223,This is terrible.,Hate,terrible
1224,Amazing work! lol,Praise,amazing work lol
1225,I felt nostalgic watching this. friend,Emotional,felt nostalgic watching friend
1226,Awful content.!!,Hate,awful content
1227,What tool did you use? tbh,Question/Suggestion,tool use tbh
1228,Proud of your progress! friend,Support,proud progress friend
1229,Keep going! tbh,Support,keep going tbh
1230,Click here for prizes!.,Spam,click prize
1231,DM for promotions. friend,Spam,dm promotion friend
1232,This touched my heart. 😭,Emotional,touched heart
1233,You have no talent. tbh,Hate,talent tbh
1234,This made me emotional. asap,Emotional,made emotional asap
1235,I’ll take action. dude,Threat,ill take action dude
1236,DM for promotions. tbh,Spam,dm promotion tbh
1237,You’ve got this! tbh,Support,youve got tbh
1238,Stay strong! haha,Support,stay strong haha
1239,I will report this. friend,Threat,report friend
1240,I will report this..,Threat,report
1241,I can relate to this. ❤️,Emotional,relate
1242,Join my group now! ❤️,Spam,join group
1243,DM for promotions. omg,Spam,dm promotion omg
1244,This touched my heart. dude,Emotional,touched heart dude
1245,This sucks. asap,Hate,suck asap
1246,Awful content. friend,Hate,awful content friend
1247,Join my group now! omg,Spam,join group omg
1248,You have no talent. thanks,Hate,talent thanks
1249,I’ll get your page banned.,Threat,ill get page banned
1250,Check my page for giveaways! dude,Spam,check page giveaway dude
1251,What tool did you use?.,Question/Suggestion,tool use
1252,This gave me chills. ❤️,Emotional,gave chill
1253,Can you upload a tutorial? 😭,Question/Suggestion,upload tutorial
1254,Join my group now! thanks,Spam,join group thanks
1255,I can relate to this. lol,Emotional,relate lol
1256,Stay strong! haha,Support,stay strong haha
1257,Check my page for giveaways! friend,Spam,check page giveaway friend
1258,Good effort but needs improvement. haha,Constructive Criticism,good effort need improvement haha
1259,Stop or face consequences. bro,Threat,stop face consequence bro
1260,Click here for prizes! haha,Spam,click prize haha
1261,You can do it! now,Support,
1262,Follow me for followers! ❤️,Spam,follow follower
1263,Can you upload a tutorial? 😭,Question/Suggestion,upload tutorial
1264,Fantastic quality! please,Praise,fantastic quality please
1265,Great attempt but lacks clarity. ❤️,Constructive Criticism,great attempt lack clarity
1266,Stop or face consequences. now,Threat,stop face consequence
1267,This sucks. friend,Hate,suck friend
1268,Good effort but needs improvement.,Constructive Criticism,good effort need improvement
1269,Good effort but needs improvement. bro,Constructive Criticism,good effort need improvement bro
1270,Worst thing ever.,Hate,worst thing ever
1271,I felt nostalgic watching this. dude,Emotional,felt nostalgic watching dude
1272,I will report this. dude,Threat,report dude
1273,Loved this! 😭,Praise,loved
1274,I will report this. tbh,Threat,report tbh
1275,I will report this. please,Threat,report please
1276,Check my page for giveaways! thanks,Spam,check page giveaway thanks
1277,You can do it! thanks,Support,thanks
1278,You have no talent. lol,Hate,talent lol
1279,DM for promotions. now,Spam,dm promotion
1280,Follow me for followers!,Spam,follow follower
1281,I will report this. please,Threat,report please
1282,Beautiful execution! tbh,Praise,beautiful execution tbh
1283,Check my page for giveaways!!!,Spam,check page giveaway
1284,Loved this! lol,Praise,loved lol
1285,This is a warning. omg,Threat,warning omg
1286,This sucks. asap,Hate,suck asap
1287,Check my page for giveaways! asap,Spam,check page giveaway asap
1288,This is a warning. tbh,Threat,warning tbh
1289,Awful content. dude,Hate,awful content dude
1290,Great attempt but lacks clarity. 😂,Constructive Criticism,great attempt lack clarity
1291,Beautiful execution! omg,Praise,beautiful execution omg
1292,Can you upload a tutorial? friend,Question/Suggestion,upload tutorial friend
1293,This is terrible. friend,Hate,terrible friend
1294,I will report this. dude,Threat,report dude
1295,This touched my heart. dude,Emotional,touched heart dude
1296,Keep going! bro,Support,keep going bro
1297,The audio could be better. now,Constructive Criticism,audio could better
1298,Visuals are nice but transitions feel off. 😂,Constructive Criticism,visuals nice transition feel
1299,This sucks. dude,Hate,suck dude
1300,DM for promotions. thanks,Spam,dm promotion thanks
1301,Follow me for followers! omg,Spam,follow follower omg
1302,Join my group now! please,Spam,join group please
1303,Join my group now! 😂,Spam,join group
1304,Loved this! friend,Praise,loved friend
1305,DM for promotions.,Spam,dm promotion
1306,Amazing work! 😭,Praise,amazing work
1307,Beautiful execution! tbh,Praise,beautiful execution tbh
1308,We believe in you! asap,Support,believe asap
1309,I felt nostalgic watching this. now,Emotional,felt nostalgic watching
1310,I’ll get your page banned. lol,Threat,ill get page banned lol
1311,Beautiful execution!.,Praise,beautiful execution
1312,What tool did you use? 😭,Question/Suggestion,tool use
1313,I’ll get your page banned. now,Threat,ill get page banned
1314,DM for promotions. lol,Spam,dm promotion lol
1315,DM for promotions. ❤️,Spam,dm promotion
1316,Can you try a darker theme?.,Question/Suggestion,try darker theme
1317,Will there be a part 2?!!,Question/Suggestion,part
1318,Keep going!.,Support,keep going
1319,We believe in you! thanks,Support,believe thanks
1320,I can relate to this. bro,Emotional,relate bro
1321,Keep going! haha,Support,keep going haha
1322,Check my page for giveaways! 😂,Spam,check page giveaway
1323,Can you make more like this? please,Question/Suggestion,make like please
1324,Check my page for giveaways!!!,Spam,check page giveaway
1325,This made me emotional. ❤️,Emotional,made emotional
1326,I’ll take action. lol,Threat,ill take action lol
1327,You have no talent. tbh,Hate,talent tbh
1328,Can you upload a tutorial? friend,Question/Suggestion,upload tutorial friend
1329,Keep going! asap,Support,keep going asap
1330,I felt nostalgic watching this. bro,Emotional,felt nostalgic watching bro
1331,Can you make more like this?,Question/Suggestion,make like
1332,You can do it!.,Support,
1333,Join my group now!.,Spam,join group
1334,This sucks. please,Hate,suck please
1335,Proud of your progress! 😂,Support,proud progress
1336,This is a warning. ❤️,Threat,warning
1337,Stop or face consequences. ❤️,Threat,stop face consequence
1338,Can you make more like this? tbh,Question/Suggestion,make like tbh
1339,Stop or face consequences. 😭,Threat,stop face consequence
1340,Beautiful execution! dude,Praise,beautiful execution dude
1341,DM for promotions. 😂,Spam,dm promotion
1342,Proud of your progress!,Support,proud progress
1343,Great attempt but lacks clarity. dude,Constructive Criticism,great attempt lack clarity dude
1344,This is terrible. asap,Hate,terrible asap
1345,I can relate to this..,Emotional,relate
1346,This gave me chills. thanks,Emotional,gave chill thanks
1347,Visuals are nice but transitions feel off.!!,Constructive Criticism,visuals nice transition feel
1348,The audio could be better. now,Constructive Criticism,audio could better
1349,Follow me for followers! tbh,Spam,follow follower tbh
1350,Beautiful execution! tbh,Praise,beautiful execution tbh
1351,Fantastic quality! 😂,Praise,fantastic quality
1352,You can do it! please,Support,please
1353,We believe in you! 😂,Support,believe
1354,Awful content..,Hate,awful content
1355,This sucks.,Hate,suck
1356,What tool did you use? omg,Question/Suggestion,tool use omg
1357,Nice idea but pacing feels slow.!!,Constructive Criticism,nice idea pacing feel slow
1358,This gave me chills. haha,Emotional,gave chill haha
1359,Join my group now! thanks,Spam,join group thanks
1360,Will there be a part 2? omg,Question/Suggestion,part omg
1361,Can you make more like this? thanks,Question/Suggestion,make like thanks
1362,This gave me chills. thanks,Emotional,gave chill thanks
1363,Fantastic quality! tbh,Praise,fantastic quality tbh
1364,I felt nostalgic watching this. thanks,Emotional,felt nostalgic watching thanks
1365,Great attempt but lacks clarity.!!,Constructive Criticism,great attempt lack clarity
1366,This touched my heart. please,Emotional,touched heart please
1367,This touched my heart. bro,Emotional,touched heart bro
1368,Will there be a part 2? thanks,Question/Suggestion,part thanks
1369,Can you make more like this? bro,Question/Suggestion,make like bro
1370,What tool did you use? tbh,Question/Suggestion,tool use tbh
1371,Keep going! dude,Support,keep going dude
1372,This is terrible. dude,Hate,terrible dude
1373,What tool did you use? dude,Question/Suggestion,tool use dude
1374,Check my page for giveaways! asap,Spam,check page giveaway asap
1375,I can relate to this. please,Emotional,relate please
1376,Can you try a darker theme? haha,Question/Suggestion,try darker theme haha
1377,Will there be a part 2? omg,Question/Suggestion,part omg
1378,Nice idea but pacing feels slow. tbh,Constructive Criticism,nice idea pacing feel slow tbh
1379,Nice idea but pacing feels slow.,Constructive Criticism,nice idea pacing feel slow
1380,This sucks.!!,Hate,suck
1381,Can you make more like this? haha,Question/Suggestion,make like haha
1382,This made me emotional. 😭,Emotional,made emotional
1383,This is terrible..,Hate,terrible
1384,I will report this. asap,Threat,report asap
1385,Keep going!,Support,keep going
1386,I can relate to this.,Emotional,relate
1387,You can do it! 😭,Support,
1388,The audio could be better. 😂,Constructive Criticism,audio could better
1389,I felt nostalgic watching this. now,Emotional,felt nostalgic watching
1390,This sucks. tbh,Hate,suck tbh
1391,Good effort but needs improvement. dude,Constructive Criticism,good effort need improvement dude
1392,I’ll take action. lol,Threat,ill take action lol
1393,Join my group now! friend,Spam,join group friend
1394,Keep going! friend,Support,keep going friend
1395,What tool did you use? dude,Question/Suggestion,tool use dude
1396,Beautiful execution! asap,Praise,beautiful execution asap
1397,Stop or face consequences. 😂,Threat,stop face consequence
1398,This is a warning.!!,Threat,warning
1399,This made me emotional. ❤️,Emotional,made emotional
1400,I can relate to this. haha,Emotional,relate haha
1401,Will there be a part 2? 😂,Question/Suggestion,part
1402,This is a warning. 😂,Threat,warning
1403,Worst thing ever. 😭,Hate,worst thing ever
1404,Can you make more like this? lol,Question/Suggestion,make like lol
1405,Can you try a darker theme? 😂,Question/Suggestion,try darker theme
1406,I’ll get your page banned. please,Threat,ill get page banned please
1407,Can you upload a tutorial? dude,Question/Suggestion,upload tutorial dude
1408,Proud of your progress! please,Support,proud progress please
1409,Proud of your progress! asap,Support,proud progress asap
1410,I’ll get your page banned. tbh,Threat,ill get page banned tbh
1411,What tool did you use? 😭,Question/Suggestion,tool use
1412,Click here for prizes! omg,Spam,click prize omg
1413,We believe in you! friend,Support,believe friend
1414,Stop or face consequences. haha,Threat,stop face consequence haha
1415,Stop or face consequences. please,Threat,stop face consequence please
1416,Stop or face consequences. tbh,Threat,stop face consequence tbh
1417,This sucks.!!,Hate,suck
1418,Fantastic quality!,Praise,fantastic quality
1419,Will there be a part 2? please,Question/Suggestion,part please
1420,Stop or face consequences. 😭,Threat,stop face consequence
1421,Can you make more like this? 😂,Question/Suggestion,make like
1422,This is terrible. haha,Hate,terrible haha
1423,Awful content. please,Hate,awful content please
1424,This gave me chills. friend,Emotional,gave chill friend
1425,Good effort but needs improvement. haha,Constructive Criticism,good effort need improvement haha
1426,Visuals are nice but transitions feel off. thanks,Constructive Criticism,visuals nice transition feel thanks
1427,Nice idea but pacing feels slow.!!,Constructive Criticism,nice idea pacing feel slow
1428,Great animation! omg,Praise,great animation omg
1429,I felt nostalgic watching this. asap,Emotional,felt nostalgic watching asap
1430,This made me emotional.!!,Emotional,made emotional
1431,Nice idea but pacing feels slow. omg,Constructive Criticism,nice idea pacing feel slow omg
1432,You can do it! bro,Support,bro
1433,You have no talent. 😭,Hate,talent
1434,We believe in you! 😂,Support,believe
1435,The audio could be better. bro,Constructive Criticism,audio could better bro
1436,Join my group now! 😭,Spam,join group
1437,You have no talent. ❤️,Hate,talent
1438,Amazing work! 😭,Praise,amazing work
1439,Will there be a part 2? lol,Question/Suggestion,part lol
1440,Good effort but needs improvement. omg,Constructive Criticism,good effort need improvement omg
1441,The audio could be better. 😭,Constructive Criticism,audio could better
1442,Good effort but needs improvement. friend,Constructive Criticism,good effort need improvement friend
1443,What tool did you use? dude,Question/Suggestion,tool use dude
1444,Can you try a darker theme? please,Question/Suggestion,try darker theme please
1445,Loved this! now,Praise,loved
1446,This sucks. omg,Hate,suck omg
1447,Can you make more like this? lol,Question/Suggestion,make like lol
1448,This looks stunning! now,Praise,look stunning
1449,Can you make more like this? friend,Question/Suggestion,make like friend
1450,You can do it! omg,Support,omg
1451,Follow me for followers! now,Spam,follow follower
1452,Fantastic quality! asap,Praise,fantastic quality asap
1453,DM for promotions. lol,Spam,dm promotion lol
1454,You can do it! 😭,Support,
1455,This is a warning. omg,Threat,warning omg
1456,Beautiful execution! dude,Praise,beautiful execution dude
1457,Awful content. dude,Hate,awful content dude
1458,This is terrible. 😭,Hate,terrible
1459,This is a warning. thanks,Threat,warning thanks
1460,Great attempt but lacks clarity. now,Constructive Criticism,great attempt lack clarity
1461,This touched my heart. ❤️,Emotional,touched heart
1462,I can relate to this. ❤️,Emotional,relate
1463,Worst thing ever. thanks,Hate,worst thing ever thanks
1464,I’ll take action. dude,Threat,ill take action dude
1465,Fantastic quality!.,Praise,fantastic quality
1466,You’ve got this! thanks,Support,youve got thanks
1467,Stay strong!!!,Support,stay strong
1468,I will report this. please,Threat,report please
1469,Great attempt but lacks clarity. omg,Constructive Criticism,great attempt lack clarity omg
1470,Can you upload a tutorial? bro,Question/Suggestion,upload tutorial bro
1471,You have no talent..,Hate,talent
1472,This looks stunning! lol,Praise,look stunning lol
1473,Good effort but needs improvement. 😂,Constructive Criticism,good effort need improvement
1474,I will report this.,Threat,report
1475,I felt nostalgic watching this. 😂,Emotional,felt nostalgic watching
1476,Beautiful execution! now,Praise,beautiful execution
1477,I will report this. lol,Threat,report lol
1478,Loved this!!!,Praise,loved
1479,You can do it! friend,Support,friend
1480,Great animation! now,Praise,great animation
1481,Fantastic quality! please,Praise,fantastic quality please
1482,Proud of your progress! thanks,Support,proud progress thanks
1483,I felt nostalgic watching this. now,Emotional,felt nostalgic watching
1484,This is terrible. thanks,Hate,terrible thanks
1485,Beautiful execution!!!,Praise,beautiful execution
1486,I’ll take action..,Threat,ill take action
1487,I’ll take action. omg,Threat,ill take action omg
1488,You’ve got this! friend,Support,youve got friend
1489,Worst thing ever. friend,Hate,worst thing ever friend
1490,Click here for prizes! tbh,Spam,click prize tbh
1491,Follow me for followers! please,Spam,follow follower please
1492,This is a warning. dude,Threat,warning dude
1493,DM for promotions. tbh,Spam,dm promotion tbh
1494,I will report this. now,Threat,report
1495,Click here for prizes! ❤️,Spam,click prize
1496,Amazing work! asap,Praise,amazing work asap
1497,You can do it!.,Support,
1498,Loved this!,Praise,loved
1499,This is a warning. please,Threat,warning please
1500,This gave me chills. lol,Emotional,gave chill lol
1501,You have no talent. ❤️,Hate,talent
1502,Good effort but needs improvement. ❤️,Constructive Criticism,good effort need improvement
1503,Nice idea but pacing feels slow. please,Constructive Criticism,nice idea pacing feel slow please
1504,I felt nostalgic watching this..,Emotional,felt nostalgic watching
1505,Visuals are nice but transitions feel off.!!,Constructive Criticism,visuals nice transition feel
1506,Can you try a darker theme? thanks,Question/Suggestion,try darker theme thanks
1507,This is a warning. bro,Threat,warning bro
1508,I’ll get your page banned. dude,Threat,ill get page banned dude
1509,Follow me for followers! omg,Spam,follow follower omg
1510,What tool did you use? 😂,Question/Suggestion,tool use
1511,This is terrible. bro,Hate,terrible bro
1512,Stop or face consequences. friend,Threat,stop face consequence friend
1513,Good effort but needs improvement.!!,Constructive Criticism,good effort need improvement
1514,I will report this. asap,Threat,report asap
1515,This looks stunning! please,Praise,look stunning please
1516,Beautiful execution! 😭,Praise,beautiful execution
1517,Amazing work!,Praise,amazing work
1518,Check my page for giveaways! friend,Spam,check page giveaway friend
1519,This gave me chills. thanks,Emotional,gave chill thanks
1520,Visuals are nice but transitions feel off. haha,Constructive Criticism,visuals nice transition feel haha
1521,Good effort but needs improvement. bro,Constructive Criticism,good effort need improvement bro
1522,Stay strong!,Support,stay strong
1523,I will report this.!!,Threat,report
1524,This looks stunning! asap,Praise,look stunning asap
1525,I can relate to this. now,Emotional,relate
1526,Great attempt but lacks clarity..,Constructive Criticism,great attempt lack clarity
1527,Join my group now! haha,Spam,join group haha
1528,Keep going!!!,Support,keep going
1529,Amazing work!!!,Praise,amazing work
1530,You have no talent. friend,Hate,talent friend
1531,Amazing work! haha,Praise,amazing work haha
1532,DM for promotions. please,Spam,dm promotion please
1533,Can you make more like this? now,Question/Suggestion,make like
1534,What tool did you use? haha,Question/Suggestion,tool use haha
1535,I felt nostalgic watching this. tbh,Emotional,felt nostalgic watching tbh
1536,Follow me for followers! dude,Spam,follow follower dude
1537,I will report this..,Threat,report
1538,Nice idea but pacing feels slow. 😭,Constructive Criticism,nice idea pacing feel slow
1539,Keep going! omg,Support,keep going omg
1540,Nice idea but pacing feels slow.!!,Constructive Criticism,nice idea pacing feel slow
1541,What tool did you use? dude,Question/Suggestion,tool use dude
1542,Check my page for giveaways! asap,Spam,check page giveaway asap
1543,You can do it! now,Support,
1544,DM for promotions. dude,Spam,dm promotion dude
1545,You have no talent. lol,Hate,talent lol
1546,This made me emotional. 😂,Emotional,made emotional
1547,Stop or face consequences. lol,Threat,stop face consequence lol
1548,Stop or face consequences. omg,Threat,stop face consequence omg
1549,Nice idea but pacing feels slow. 😭,Constructive Criticism,nice idea pacing feel slow
1550,Worst thing ever. asap,Hate,worst thing ever asap
1551,Great attempt but lacks clarity.,Constructive Criticism,great attempt lack clarity
1552,Can you upload a tutorial? haha,Question/Suggestion,upload tutorial haha
1553,This is terrible. thanks,Hate,terrible thanks
1554,This made me emotional. tbh,Emotional,made emotional tbh
1555,Proud of your progress! lol,Support,proud progress lol
1556,Visuals are nice but transitions feel off. tbh,Constructive Criticism,visuals nice transition feel tbh
1557,DM for promotions. dude,Spam,dm promotion dude
1558,Amazing work! tbh,Praise,amazing work tbh
1559,This made me emotional..,Emotional,made emotional
1560,Can you upload a tutorial? lol,Question/Suggestion,upload tutorial lol
1561,This gave me chills.,Emotional,gave chill
1562,You’ve got this! please,Support,youve got please
1563,Great animation! bro,Praise,great animation bro
1564,We believe in you! 😂,Support,believe
1565,Join my group now! now,Spam,join group
1566,The audio could be better. lol,Constructive Criticism,audio could better lol
1567,I’ll get your page banned. friend,Threat,ill get page banned friend
1568,I can relate to this. friend,Emotional,relate friend
1569,Loved this! friend,Praise,loved friend
1570,What tool did you use? 😂,Question/Suggestion,tool use
1571,Will there be a part 2?!!,Question/Suggestion,part
1572,Can you make more like this? haha,Question/Suggestion,make like haha
1573,We believe in you! bro,Support,believe bro
1574,DM for promotions.!!,Spam,dm promotion
1575,Great attempt but lacks clarity. 😭,Constructive Criticism,great attempt lack clarity
1576,Great attempt but lacks clarity. tbh,Constructive Criticism,great attempt lack clarity tbh
1577,Can you try a darker theme? now,Question/Suggestion,try darker theme
1578,Can you upload a tutorial?.,Question/Suggestion,upload tutorial
1579,Join my group now! tbh,Spam,join group tbh
1580,What tool did you use? 😂,Question/Suggestion,tool use
1581,Loved this! haha,Praise,loved haha
1582,Click here for prizes! omg,Spam,click prize omg
1583,Join my group now! dude,Spam,join group dude
1584,Great attempt but lacks clarity. please,Constructive Criticism,great attempt lack clarity please
1585,We believe in you! now,Support,believe
1586,Fantastic quality! 😂,Praise,fantastic quality
1587,I will report this. lol,Threat,report lol
1588,I felt nostalgic watching this..,Emotional,felt nostalgic watching
1589,This is a warning. please,Threat,warning please
1590,DM for promotions. 😂,Spam,dm promotion
1591,This touched my heart.,Emotional,touched heart
1592,We believe in you! omg,Support,believe omg
1593,Keep going! dude,Support,keep going dude
1594,Click here for prizes! friend,Spam,click prize friend
1595,Stop or face consequences.!!,Threat,stop face consequence
