id,comment,label
1559,This made me emotional..,Emotional
1560,Can you upload a tutorial? lol,Question/Suggestion
1561,This gave me chills.,Emotional
1562,You’ve got this! please,Support
1563,Great animation! bro,Praise
1564,We believe in you! 😂,Support
1565,Join my group now! now,Spam
1566,The audio could be better. lol,Constructive Criticism
1567,I’ll get your page banned. friend,Threat
1568,I can relate to this. friend,Emotional
1569,Loved this! friend,Praise
1570,What tool did you use? 😂,Question/Suggestion
1571,Will there be a part 2?!!,Question/Suggestion
1572,Can you make more like this? haha,Question/Suggestion
1573,We believe in you! bro,Support
1574,DM for promotions.!!,Spam
1575,Great attempt but lacks clarity. 😭,Constructive Criticism
1576,Great attempt but lacks clarity. tbh,Constructive Criticism
1577,Can you try a darker theme? now,Question/Suggestion
1578,Can you upload a tutorial?.,Question/Suggestion
1579,Join my group now! tbh,Spam
1580,What tool did you use? 😂,Question/Suggestion
1581,Loved this! haha,Praise
1582,Click here for prizes! omg,Spam
1583,Join my group now! dude,Spam
1584,Great attempt but lacks clarity. please,Constructive Criticism
1585,We believe in you! now,Support
1586,Fantastic quality! 😂,Praise
1587,I will report this. lol,Threat
1588,I felt nostalgic watching this..,Emotional
1589,This is a warning. please,Threat
1590,DM for promotions. 😂,Spam
1591,This touched my heart.,Emotional
1592,We believe in you! omg,Support
1593,Keep going! dude,Support
1594,Click here for prizes! friend,Spam
1595,Stop or face consequences.!!,Threat
1596,Stop or face consequences. please,Threat
1597,This is a warning..,Threat
1598,Beautiful execution! 😭,Praise
1599,Stop or face consequences.,Threat
1600,Visuals are nice but transitions feel off.!!,Constructive Criticism
1601,This is a warning. thanks,Threat
1602,Will there be a part 2? lol,Question/Suggestion
1603,I’ll get your page banned. 😂,Threat
1604,Follow me for followers! dude,Spam
1605,Check my page for giveaways! please,Spam
1606,Nice idea but pacing feels slow. please,Constructive Criticism
1607,This made me emotional. now,Emotional
1608,Great animation! ❤️,Praise
1609,Fantastic quality! now,Praise
1610,Nice idea but pacing feels slow. asap,Constructive Criticism
1611,Join my group now! lol,Spam
1612,Keep going! 😭,Support
1613,Join my group now! lol,Spam
1614,Can you try a darker theme?,Question/Suggestion
1615,Nice idea but pacing feels slow. 😂,Constructive Criticism
1616,Follow me for followers! omg,Spam
1617,This touched my heart. please,Emotional
1618,Visuals are nice but transitions feel off. bro,Constructive Criticism
1619,DM for promotions. omg,Spam
1620,Beautiful execution! dude,Praise
1621,Can you upload a tutorial? asap,Question/Suggestion
1622,DM for promotions. bro,Spam
1623,This sucks.!!,Hate
1624,DM for promotions. ❤️,Spam
1625,This made me emotional. thanks,Emotional
1626,Can you try a darker theme? friend,Question/Suggestion
1627,Loved this! haha,Praise
1628,You have no talent.,Hate
1629,We believe in you! dude,Support
1630,What tool did you use? asap,Question/Suggestion
1631,You have no talent. thanks,Hate
1632,I’ll take action. 😂,Threat
1633,I will report this. asap,Threat
1634,Worst thing ever. ❤️,Hate
1635,Beautiful execution! tbh,Praise
1636,Stop or face consequences. tbh,Threat
1637,Can you make more like this?,Question/Suggestion
1638,The audio could be better.!!,Constructive Criticism
1639,Click here for prizes! 😂,Spam
1640,This is a warning..,Threat
1641,I’ll get your page banned. 😭,Threat
1642,This gave me chills. omg,Emotional
1643,I will report this.!!,Threat
1644,Can you upload a tutorial? haha,Question/Suggestion
1645,Click here for prizes! ❤️,Spam
1646,Great animation! now,Praise
1647,Fantastic quality! please,Praise
1648,I can relate to this. asap,Emotional
1649,Proud of your progress! lol,Support
1650,Join my group now! ❤️,Spam
1651,Great animation! 😂,Praise
1652,You have no talent. bro,Hate
1653,I will report this.!!,Threat
1654,Stay strong! dude,Support
1655,Will there be a part 2? ❤️,Question/Suggestion
1656,Great animation! 😂,Praise
1657,We believe in you! omg,Support
1658,You have no talent. please,Hate
1659,This sucks. ❤️,Hate
1660,Beautiful execution!,Praise
1661,Follow me for followers! friend,Spam
1662,This looks stunning! haha,Praise
1663,Click here for prizes! bro,Spam
1664,Keep going! now,Support
1665,I’ll take action. now,Threat
1666,This gave me chills. 😭,Emotional
1667,What tool did you use? omg,Question/Suggestion
1668,I will report this..,Threat
1669,Beautiful execution! dude,Praise
1670,Click here for prizes! omg,Spam
1671,I can relate to this. ❤️,Emotional
1672,I felt nostalgic watching this. friend,Emotional
1673,The audio could be better. tbh,Constructive Criticism
1674,DM for promotions. lol,Spam
1675,Can you try a darker theme? 😂,Question/Suggestion
1676,We believe in you! please,Support
1677,I’ll get your page banned. 😭,Threat
1678,Can you try a darker theme? tbh,Question/Suggestion
1679,I’ll get your page banned. 😭,Threat
1680,Amazing work! 😭,Praise
1681,Keep going! asap,Support
1682,Check my page for giveaways! 😭,Spam
1683,Fantastic quality! thanks,Praise
1684,Visuals are nice but transitions feel off. tbh,Constructive Criticism
1685,Worst thing ever. bro,Hate
1686,Check my page for giveaways! haha,Spam
1687,Check my page for giveaways! asap,Spam
1688,Stop or face consequences.,Threat
1689,What tool did you use? lol,Question/Suggestion
1690,You have no talent. please,Hate
1691,Follow me for followers!,Spam
1692,You’ve got this! 😭,Support
1693,Nice idea but pacing feels slow. 😂,Constructive Criticism
1694,This is terrible. thanks,Hate
1695,This is a warning. ❤️,Threat
1696,This is terrible..,Hate
1697,Worst thing ever. lol,Hate
1698,Awful content. 😭,Hate
1699,Visuals are nice but transitions feel off. ❤️,Constructive Criticism
1700,Great attempt but lacks clarity. dude,Constructive Criticism
1701,Good effort but needs improvement..,Constructive Criticism
1702,Proud of your progress! ❤️,Support
1703,You have no talent. lol,Hate
1704,DM for promotions.!!,Spam
1705,I can relate to this. asap,Emotional
1706,Fantastic quality! omg,Praise
1707,I felt nostalgic watching this. please,Emotional
1708,This touched my heart. now,Emotional
1709,Fantastic quality!.,Praise
1710,Great attempt but lacks clarity. bro,Constructive Criticism
1711,This touched my heart. bro,Emotional
1712,I felt nostalgic watching this. haha,Emotional
1713,Check my page for giveaways! omg,Spam
1714,Follow me for followers! lol,Spam
1715,Good effort but needs improvement. omg,Constructive Criticism
1716,This is a warning. tbh,Threat
1717,Fantastic quality! now,Praise
1718,You have no talent. now,Hate
1719,This touched my heart.!!,Emotional
1720,What tool did you use? asap,Question/Suggestion
1721,Click here for prizes!.,Spam
1722,Stop or face consequences. friend,Threat
1723,Keep going! 😂,Support
1724,Beautiful execution!.,Praise
1725,I’ll get your page banned.,Threat
1726,Can you make more like this? omg,Question/Suggestion
1727,This sucks. please,Hate
1728,This sucks. 😭,Hate
1729,I felt nostalgic watching this. dude,Emotional
1730,You can do it! 😂,Support
1731,Visuals are nice but transitions feel off.,Constructive Criticism
1732,This gave me chills. friend,Emotional
1733,Loved this! please,Praise
1734,Stop or face consequences. bro,Threat
1735,This made me emotional.!!,Emotional
1736,The audio could be better. lol,Constructive Criticism
1737,I can relate to this. tbh,Emotional
1738,I will report this. asap,Threat
1739,You can do it!.,Support
1740,I’ll get your page banned. now,Threat
1741,Keep going! omg,Support
1742,Stop or face consequences.,Threat
1743,I can relate to this. dude,Emotional
1744,This made me emotional. dude,Emotional
1745,Can you upload a tutorial? friend,Question/Suggestion
1746,You’ve got this!,Support
1747,I will report this. haha,Threat
1748,This looks stunning! bro,Praise
1749,I felt nostalgic watching this. haha,Emotional
1750,I felt nostalgic watching this. haha,Emotional
1751,Click here for prizes! friend,Spam
1752,Keep going! now,Support
1753,This is terrible. friend,Hate
1754,Worst thing ever. tbh,Hate
1755,You have no talent. tbh,Hate
1756,I’ll get your page banned. 😭,Threat
1757,Follow me for followers!,Spam
1758,Follow me for followers! 😭,Spam
1759,This looks stunning! ❤️,Praise
1760,What tool did you use? friend,Question/Suggestion
1761,Stop or face consequences.!!,Threat
1762,You can do it! 😭,Support
1763,Nice idea but pacing feels slow. bro,Constructive Criticism
1764,Nice idea but pacing feels slow. 😂,Constructive Criticism
1765,I can relate to this. dude,Emotional
1766,This touched my heart..,Emotional
1767,Follow me for followers! haha,Spam
1768,Awful content. dude,Hate
1769,What tool did you use? tbh,Question/Suggestion
1770,Can you upload a tutorial? 😭,Question/Suggestion
1771,I can relate to this. friend,Emotional
1772,Will there be a part 2? thanks,Question/Suggestion
1773,This gave me chills. 😂,Emotional
1774,Click here for prizes! please,Spam
1775,Loved this! 😂,Praise
1776,DM for promotions. asap,Spam
1777,I will report this. dude,Threat
1778,Amazing work! ❤️,Praise
1779,Click here for prizes! tbh,Spam
1780,I will report this. haha,Threat
1781,Fantastic quality!!!,Praise
1782,This touched my heart. lol,Emotional
1783,Great animation! omg,Praise
1784,This is a warning. thanks,Threat
1785,Follow me for followers! haha,Spam
1786,Great animation! 😂,Praise
1787,I can relate to this. 😭,Emotional
1788,I felt nostalgic watching this. bro,Emotional
1789,I felt nostalgic watching this. haha,Emotional
1790,This sucks. 😂,Hate
1791,This is a warning. friend,Threat
1792,Follow me for followers! omg,Spam
1793,This sucks. thanks,Hate
1794,This gave me chills.!!,Emotional
1795,You have no talent. dude,Hate
1796,I will report this. 😭,Threat
1797,You have no talent. haha,Hate
1798,This gave me chills. 😭,Emotional
1799,Proud of your progress! tbh,Support
1800,DM for promotions. bro,Spam
1801,What tool did you use? haha,Question/Suggestion
1802,I’ll get your page banned. bro,Threat
1803,Great attempt but lacks clarity. tbh,Constructive Criticism
1804,I can relate to this. ❤️,Emotional
1805,This is a warning. 😂,Threat
1806,This touched my heart.,Emotional
1807,This looks stunning! 😂,Praise
1808,This sucks. thanks,Hate
1809,This touched my heart.,Emotional
1810,We believe in you! tbh,Support
1811,Follow me for followers! now,Spam
1812,Great attempt but lacks clarity. thanks,Constructive Criticism
1813,Can you try a darker theme? 😭,Question/Suggestion
1814,Stop or face consequences. dude,Threat
1815,Nice idea but pacing feels slow. 😂,Constructive Criticism
1816,Can you upload a tutorial? please,Question/Suggestion
1817,Awful content. haha,Hate
1818,I’ll get your page banned. now,Threat
1819,Worst thing ever. 😂,Hate
1820,Check my page for giveaways!,Spam
1821,Can you upload a tutorial?.,Question/Suggestion
1822,Will there be a part 2? haha,Question/Suggestion
1823,Beautiful execution! lol,Praise
1824,I’ll take action. haha,Threat
1825,Awful content. tbh,Hate
1826,The audio could be better. ❤️,Constructive Criticism
1827,Nice idea but pacing feels slow.!!,Constructive Criticism
1828,Click here for prizes! asap,Spam
1829,Proud of your progress!,Support
1830,This made me emotional. bro,Emotional
1831,DM for promotions. 😭,Spam
1832,Check my page for giveaways! ❤️,Spam
1833,Can you try a darker theme? now,Question/Suggestion
1834,Nice idea but pacing feels slow. omg,Constructive Criticism
1835,DM for promotions. bro,Spam
1836,Worst thing ever. tbh,Hate
1837,Awful content.,Hate
1838,This sucks. 😭,Hate
1839,Loved this! asap,Praise
1840,Awful content. 😂,Hate
1841,This sucks. thanks,Hate
1842,Can you make more like this? lol,Question/Suggestion
1843,This sucks. thanks,Hate
1844,DM for promotions. omg,Spam
1845,I’ll get your page banned. now,Threat
1846,This touched my heart. dude,Emotional
1847,We believe in you! lol,Support
1848,This is terrible. please,Hate
1849,This is terrible. ❤️,Hate
1850,Loved this! bro,Praise
1851,Nice idea but pacing feels slow. dude,Constructive Criticism
1852,Can you upload a tutorial?!!,Question/Suggestion
1853,I’ll take action..,Threat
1854,Click here for prizes! asap,Spam
1855,This made me emotional.,Emotional
1856,Loved this! 😭,Praise
1857,Nice idea but pacing feels slow. 😭,Constructive Criticism
1858,Click here for prizes! tbh,Spam
1859,This touched my heart. asap,Emotional
1860,This made me emotional. dude,Emotional
1861,Worst thing ever. friend,Hate
1862,Keep going! omg,Support
1863,I’ll take action. tbh,Threat
1864,This is a warning. tbh,Threat
1865,Nice idea but pacing feels slow. now,Constructive Criticism
1866,Can you upload a tutorial? omg,Question/Suggestion
1867,You’ve got this! now,Support
1868,Join my group now!.,Spam
1869,This sucks. bro,Hate
1870,Will there be a part 2?!!,Question/Suggestion
1871,I felt nostalgic watching this. tbh,Emotional
1872,This gave me chills. now,Emotional
1873,Awful content. 😂,Hate
1874,This touched my heart. lol,Emotional
1875,Loved this! thanks,Praise
1876,Click here for prizes! now,Spam
1877,Good effort but needs improvement. friend,Constructive Criticism
1878,Proud of your progress!,Support
1879,This sucks. friend,Hate
1880,I’ll take action. thanks,Threat
1881,Stay strong! now,Support
1882,Check my page for giveaways! ❤️,Spam
1883,Fantastic quality! please,Praise
1884,You can do it!.,Support
1885,This made me emotional. lol,Emotional
1886,Click here for prizes!!!,Spam
1887,This gave me chills. 😂,Emotional
1888,Stay strong! haha,Support
1889,Proud of your progress! haha,Support
1890,Check my page for giveaways! lol,Spam
1891,DM for promotions. friend,Spam
1892,Beautiful execution! omg,Praise
1893,Awful content. asap,Hate
1894,Worst thing ever. haha,Hate
1895,Fantastic quality! omg,Praise
1896,Loved this! bro,Praise
1897,Nice idea but pacing feels slow. ❤️,Constructive Criticism
1898,Worst thing ever. thanks,Hate
1899,This sucks. friend,Hate
1900,Proud of your progress! friend,Support
1901,Awful content. lol,Hate
1902,Worst thing ever. 😭,Hate
1903,Nice idea but pacing feels slow.,Constructive Criticism
1904,Click here for prizes! asap,Spam
1905,Nice idea but pacing feels slow. haha,Constructive Criticism
1906,This made me emotional. now,Emotional
1907,Click here for prizes! ❤️,Spam
1908,Will there be a part 2? friend,Question/Suggestion
1909,DM for promotions. haha,Spam
1910,Join my group now! friend,Spam
1911,Join my group now! tbh,Spam
1912,This is a warning. bro,Threat
1913,What tool did you use? thanks,Question/Suggestion
1914,I’ll take action. haha,Threat
1915,Visuals are nice but transitions feel off. haha,Constructive Criticism
1916,Loved this! ❤️,Praise
1917,This is a warning. dude,Threat
1918,Click here for prizes! friend,Spam
1919,Amazing work! haha,Praise
1920,DM for promotions..,Spam
1921,You’ve got this! omg,Support
1922,The audio could be better. friend,Constructive Criticism
1923,Follow me for followers! now,Spam
1924,Click here for prizes! 😂,Spam
1925,Fantastic quality!,Praise
1926,Great attempt but lacks clarity. asap,Constructive Criticism
1927,Join my group now! please,Spam
1928,Amazing work! now,Praise
1929,Beautiful execution!,Praise
1930,Will there be a part 2? haha,Question/Suggestion
1931,Stay strong!.,Support
1932,Stay strong! please,Support
1933,Keep going! now,Support
1934,Great animation! asap,Praise
1935,Great attempt but lacks clarity. omg,Constructive Criticism
1936,You’ve got this!.,Support
1937,This is terrible..,Hate
1938,This made me emotional.!!,Emotional
1939,Can you make more like this?.,Question/Suggestion
1940,This touched my heart. 😭,Emotional
1941,Can you upload a tutorial? 😭,Question/Suggestion
1942,I’ll get your page banned. thanks,Threat
1943,Great attempt but lacks clarity.!!,Constructive Criticism
1944,Join my group now! asap,Spam
1945,I can relate to this. 😭,Emotional
1946,Great animation! lol,Praise
1947,Click here for prizes! omg,Spam
1948,Beautiful execution! thanks,Praise
1949,Good effort but needs improvement. bro,Constructive Criticism
1950,Join my group now! asap,Spam
1951,Will there be a part 2? thanks,Question/Suggestion
1952,Great attempt but lacks clarity. ❤️,Constructive Criticism
1953,Loved this!,Praise
1954,Click here for prizes! lol,Spam
1955,Fantastic quality! please,Praise
1956,Join my group now! thanks,Spam
1957,Great attempt but lacks clarity. 😂,Constructive Criticism
1958,Amazing work! friend,Praise
1959,I’ll take action. haha,Threat
1960,Good effort but needs improvement.,Constructive Criticism
1961,This is terrible. now,Hate
1962,We believe in you!!!,Support
1963,Awful content. now,Hate
1964,Great attempt but lacks clarity.!!,Constructive Criticism
1965,Will there be a part 2? 😭,Question/Suggestion
1966,DM for promotions. please,Spam
1967,The audio could be better. ❤️,Constructive Criticism
1968,DM for promotions. dude,Spam
1969,I felt nostalgic watching this. 😭,Emotional
1970,This made me emotional. haha,Emotional
1971,DM for promotions. please,Spam
1972,You can do it! 😭,Support
1973,Beautiful execution! dude,Praise
1974,Can you try a darker theme? lol,Question/Suggestion
1975,Click here for prizes! omg,Spam
1976,This gave me chills.,Emotional
1977,Can you upload a tutorial? friend,Question/Suggestion
1978,Can you try a darker theme? 😭,Question/Suggestion
1979,Join my group now! dude,Spam
1980,Good effort but needs improvement. ❤️,Constructive Criticism
1981,This looks stunning! omg,Praise
1982,DM for promotions. tbh,Spam
1983,This touched my heart. lol,Emotional
1984,Can you upload a tutorial? thanks,Question/Suggestion
1985,Check my page for giveaways! thanks,Spam
1986,I will report this. haha,Threat
1987,Loved this! asap,Praise
1988,The audio could be better. haha,Constructive Criticism
1989,Join my group now! friend,Spam
1990,This looks stunning!.,Praise
1991,Awful content. dude,Hate
1992,You can do it! tbh,Support
1993,The audio could be better. ❤️,Constructive Criticism
1994,This made me emotional. friend,Emotional
1995,Nice idea but pacing feels slow.!!,Constructive Criticism
1996,Great attempt but lacks clarity. lol,Constructive Criticism
1997,DM for promotions. asap,Spam
1998,This is a warning. asap,Threat
1999,Amazing work!.,Praise
2000,This gave me chills. please,Emotional
2001,Can you try a darker theme? ❤️,Question/Suggestion
2002,Beautiful execution! 😭,Praise
2003,Keep going! now,Support
2004,Will there be a part 2? ❤️,Question/Suggestion
2005,The audio could be better. asap,Constructive Criticism
2006,Can you upload a tutorial? now,Question/Suggestion
2007,You can do it! bro,Support
2008,Stop or face consequences. lol,Threat
2009,You’ve got this! now,Support
2010,We believe in you! dude,Support
2011,This sucks. 😭,Hate
2012,Good effort but needs improvement. 😭,Constructive Criticism
2013,Beautiful execution! dude,Praise
2014,This is a warning. please,Threat
2015,I’ll get your page banned.!!,Threat
2016,We believe in you!,Support
2017,This made me emotional. dude,Emotional
2018,We believe in you! dude,Support
2019,You can do it! thanks,Support
2020,Worst thing ever. asap,Hate
2021,Amazing work! lol,Praise
2022,I’ll get your page banned. dude,Threat
2023,What tool did you use? 😂,Question/Suggestion
2024,Keep going! asap,Support
2025,This gave me chills. bro,Emotional
2026,I’ll take action. 😭,Threat
2027,DM for promotions. dude,Spam
2028,You’ve got this! haha,Support
2029,Stop or face consequences. 😂,Threat
2030,Click here for prizes!!!,Spam
2031,You can do it! haha,Support
2032,Can you make more like this?.,Question/Suggestion
2033,Visuals are nice but transitions feel off. asap,Constructive Criticism
2034,Can you make more like this? lol,Question/Suggestion
2035,Join my group now! asap,Spam
2036,Fantastic quality! asap,Praise
2037,This looks stunning! ❤️,Praise
2038,I will report this. asap,Threat
2039,Can you try a darker theme? now,Question/Suggestion
2040,You can do it! dude,Support
2041,You have no talent. bro,Hate
2042,We believe in you! asap,Support
2043,You have no talent.,Hate
2044,Will there be a part 2? ❤️,Question/Suggestion
2045,Join my group now! bro,Spam
2046,Great attempt but lacks clarity. lol,Constructive Criticism
2047,Keep going! lol,Support
2048,Check my page for giveaways!.,Spam
2049,I felt nostalgic watching this. now,Emotional
2050,I felt nostalgic watching this. 😂,Emotional
2051,This is terrible. lol,Hate
2052,You’ve got this! asap,Support
2053,Great attempt but lacks clarity.,Constructive Criticism
2054,Great animation!.,Praise
2055,Worst thing ever. now,Hate
2056,Proud of your progress! tbh,Support
2057,Check my page for giveaways!.,Spam
2058,I felt nostalgic watching this. bro,Emotional
2059,Great attempt but lacks clarity. bro,Constructive Criticism
2060,I will report this. lol,Threat
2061,What tool did you use? friend,Question/Suggestion
2062,I’ll get your page banned. 😭,Threat
2063,This gave me chills. dude,Emotional
2064,I will report this. now,Threat
2065,Fantastic quality! bro,Praise
2066,The audio could be better. lol,Constructive Criticism
2067,Check my page for giveaways!!!,Spam
2068,Can you make more like this? haha,Question/Suggestion
2069,I’ll take action. omg,Threat
2070,I will report this. friend,Threat
2071,Join my group now! ❤️,Spam
2072,I will report this. haha,Threat
2073,This touched my heart. dude,Emotional
2074,Join my group now! please,Spam
2075,Follow me for followers! asap,Spam
2076,I can relate to this. 😭,Emotional
2077,Keep going! omg,Support
2078,Worst thing ever..,Hate
2079,The audio could be better. omg,Constructive Criticism
2080,Can you try a darker theme? ❤️,Question/Suggestion
2081,DM for promotions. please,Spam
2082,Worst thing ever. dude,Hate
2083,I felt nostalgic watching this. thanks,Emotional
2084,I can relate to this. ❤️,Emotional
2085,Will there be a part 2? asap,Question/Suggestion
2086,Proud of your progress! dude,Support
2087,You have no talent. lol,Hate
2088,I’ll take action. bro,Threat
2089,DM for promotions. please,Spam
2090,Can you try a darker theme?,Question/Suggestion
2091,This gave me chills..,Emotional
2092,Fantastic quality! please,Praise
2093,This gave me chills. asap,Emotional
2094,Follow me for followers! dude,Spam
2095,This sucks. lol,Hate
2096,You have no talent. bro,Hate
2097,I can relate to this. bro,Emotional
2098,Worst thing ever. bro,Hate
2099,Loved this! 😂,Praise
2100,This is a warning. please,Threat
2101,Proud of your progress!.,Support
2102,We believe in you! 😭,Support
2103,What tool did you use?!!,Question/Suggestion
2104,Click here for prizes! ❤️,Spam
2105,Stop or face consequences. haha,Threat
2106,Will there be a part 2? haha,Question/Suggestion
2107,What tool did you use? lol,Question/Suggestion
2108,This touched my heart. please,Emotional
2109,Click here for prizes! tbh,Spam
2110,Fantastic quality! asap,Praise
2111,Click here for prizes! ❤️,Spam
2112,Worst thing ever. dude,Hate
2113,I will report this.!!,Threat
2114,Beautiful execution! 😂,Praise
2115,Fantastic quality!!!,Praise
2116,This is a warning.!!,Threat
2117,Worst thing ever. dude,Hate
2118,I’ll get your page banned. haha,Threat
2119,Awful content. now,Hate
2120,Loved this! bro,Praise
2121,Follow me for followers! ❤️,Spam
2122,Stop or face consequences..,Threat
2123,This made me emotional.!!,Emotional
2124,Follow me for followers! friend,Spam
2125,Nice idea but pacing feels slow. friend,Constructive Criticism
2126,Amazing work! tbh,Praise
2127,This is terrible. please,Hate
2128,We believe in you!,Support
2129,DM for promotions. please,Spam
2130,Click here for prizes! tbh,Spam
2131,Good effort but needs improvement. haha,Constructive Criticism
2132,This is terrible. omg,Hate
2133,Worst thing ever..,Hate
2134,Check my page for giveaways!.,Spam
2135,Great animation! thanks,Praise
2136,Can you try a darker theme? now,Question/Suggestion
2137,Worst thing ever.,Hate
2138,Follow me for followers! dude,Spam
2139,Stop or face consequences. dude,Threat
2140,Can you upload a tutorial? dude,Question/Suggestion
2141,Fantastic quality! thanks,Praise
2142,I felt nostalgic watching this. 😭,Emotional
2143,Can you try a darker theme? friend,Question/Suggestion
2144,Nice idea but pacing feels slow. ❤️,Constructive Criticism
2145,This touched my heart. ❤️,Emotional
2146,DM for promotions. ❤️,Spam
2147,Keep going! friend,Support
2148,I’ll take action. tbh,Threat
2149,I can relate to this. omg,Emotional
2150,Awful content. please,Hate
2151,This sucks. friend,Hate
2152,I will report this. ❤️,Threat
2153,Keep going! now,Support
2154,The audio could be better. lol,Constructive Criticism
2155,This sucks.!!,Hate
2156,DM for promotions. ❤️,Spam
2157,You have no talent. asap,Hate
2158,Good effort but needs improvement. 😭,Constructive Criticism
2159,We believe in you! asap,Support
2160,This made me emotional. please,Emotional
2161,This gave me chills. friend,Emotional
2162,I can relate to this. haha,Emotional
2163,Worst thing ever.,Hate
2164,Can you upload a tutorial? now,Question/Suggestion
2165,The audio could be better..,Constructive Criticism
2166,This looks stunning!!!,Praise
2167,Stay strong! friend,Support
2168,This touched my heart. omg,Emotional
2169,This looks stunning! ❤️,Praise
2170,Will there be a part 2? asap,Question/Suggestion
2171,This is terrible. omg,Hate
2172,Click here for prizes!!!,Spam
2173,Great attempt but lacks clarity. 😭,Constructive Criticism
2174,Can you upload a tutorial? please,Question/Suggestion
2175,Awful content. dude,Hate
2176,Fantastic quality!,Praise
2177,Can you upload a tutorial? now,Question/Suggestion
2178,I’ll get your page banned.!!,Threat
2179,This sucks. omg,Hate
2180,Loved this! dude,Praise
2181,Stop or face consequences. omg,Threat
2182,I will report this. 😭,Threat
2183,Keep going! tbh,Support
2184,I can relate to this. 😂,Emotional
2185,Amazing work! lol,Praise
2186,This touched my heart. haha,Emotional
2187,I will report this.,Threat
2188,This is a warning. omg,Threat
2189,What tool did you use? please,Question/Suggestion
2190,Worst thing ever. bro,Hate
2191,Keep going!,Support
2192,Fantastic quality! now,Praise
2193,Keep going! lol,Support
2194,I will report this. haha,Threat
2195,You can do it! now,Support
2196,I will report this.,Threat
2197,I will report this. please,Threat
2198,I felt nostalgic watching this. 😭,Emotional
2199,Can you upload a tutorial? now,Question/Suggestion
2200,Join my group now! dude,Spam
2201,This made me emotional. 😂,Emotional
2202,What tool did you use? please,Question/Suggestion
2203,This gave me chills. omg,Emotional
2204,Beautiful execution! ❤️,Praise
2205,This gave me chills. tbh,Emotional
2206,Stop or face consequences. bro,Threat
2207,I felt nostalgic watching this. ❤️,Emotional
2208,Stay strong! dude,Support
2209,Stay strong! haha,Support
2210,Stop or face consequences. 😭,Threat
2211,I will report this. tbh,Threat
2212,You can do it! thanks,Support
2213,What tool did you use? thanks,Question/Suggestion
2214,We believe in you! friend,Support
2215,I felt nostalgic watching this. asap,Emotional
2216,I will report this. lol,Threat
2217,This touched my heart. tbh,Emotional
2218,Beautiful execution!!!,Praise
2219,This looks stunning! bro,Praise
2220,I can relate to this. dude,Emotional
2221,Visuals are nice but transitions feel off. bro,Constructive Criticism
2222,Beautiful execution! bro,Praise
2223,Amazing work! please,Praise
2224,This is terrible.,Hate
2225,The audio could be better. haha,Constructive Criticism
2226,This touched my heart. 😭,Emotional
2227,Loved this!.,Praise
2228,Keep going! dude,Support
2229,Amazing work! ❤️,Praise
2230,Check my page for giveaways! please,Spam
2231,This gave me chills. haha,Emotional
2232,Fantastic quality! please,Praise
2233,I can relate to this. 😭,Emotional
2234,Follow me for followers! please,Spam
2235,Great animation! ❤️,Praise
2236,This looks stunning! asap,Praise
2237,Join my group now! omg,Spam
2238,You have no talent. asap,Hate
2239,Loved this! now,Praise
2240,What tool did you use? ❤️,Question/Suggestion
2241,This touched my heart. 😭,Emotional
2242,Can you make more like this?.,Question/Suggestion
2243,Stop or face consequences. lol,Threat
2244,The audio could be better..,Constructive Criticism
2245,Loved this! omg,Praise
2246,Worst thing ever..,Hate
2247,Will there be a part 2? asap,Question/Suggestion
2248,Check my page for giveaways! tbh,Spam
2249,Stay strong! please,Support
2250,Great attempt but lacks clarity. dude,Constructive Criticism
2251,Visuals are nice but transitions feel off. dude,Constructive Criticism
2252,Awful content. asap,Hate
2253,Can you try a darker theme?,Question/Suggestion
2254,You can do it! omg,Support
2255,Loved this!!!,Praise
2256,Stop or face consequences. omg,Threat
2257,DM for promotions. tbh,Spam
2258,Great animation!!!,Praise
2259,You have no talent. haha,Hate
2260,Stop or face consequences. now,Threat
2261,What tool did you use? now,Question/Suggestion
2262,What tool did you use? please,Question/Suggestion
2263,DM for promotions.!!,Spam
2264,I will report this. asap,Threat
2265,I can relate to this. 😭,Emotional
2266,We believe in you! thanks,Support
2267,This sucks..,Hate
2268,Beautiful execution! thanks,Praise
2269,Stop or face consequences.!!,Threat
2270,The audio could be better. lol,Constructive Criticism
2271,Join my group now!!!,Spam
2272,Join my group now! friend,Spam
2273,What tool did you use? 😂,Question/Suggestion
2274,Good effort but needs improvement. tbh,Constructive Criticism
2275,I can relate to this. friend,Emotional
2276,Check my page for giveaways!!!,Spam
2277,Check my page for giveaways! friend,Spam
2278,You’ve got this! lol,Support
2279,Can you make more like this? friend,Question/Suggestion
2280,I’ll take action. haha,Threat
2281,Awful content. now,Hate
2282,The audio could be better. dude,Constructive Criticism
2283,You have no talent. 😂,Hate
2284,Can you try a darker theme? omg,Question/Suggestion
2285,Visuals are nice but transitions feel off..,Constructive Criticism
2286,Stay strong! now,Support
2287,Follow me for followers! asap,Spam
2288,Fantastic quality!!!,Praise
2289,We believe in you! 😂,Support
2290,This is a warning..,Threat
2291,Nice idea but pacing feels slow..,Constructive Criticism
2292,The audio could be better. omg,Constructive Criticism
2293,Amazing work! lol,Praise
2294,The audio could be better. please,Constructive Criticism
2295,I’ll get your page banned. now,Threat
2296,Can you upload a tutorial? asap,Question/Suggestion
2297,Good effort but needs improvement. asap,Constructive Criticism
2298,Click here for prizes! ❤️,Spam
2299,Fantastic quality!.,Praise
